Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Bandai,Japan,37.6,140.08,1819,Stratovolcano,Historical,vol-red
Banua Wuhu,Indonesia,3.138,125.491,-5,Submarine volcano,Historical,vol-red
Baransky,Russia,45.1,148.02,1132,Stratovolcano,Historical,vol-red
Barcena,Mexico,19.3,-110.82,332,Cinder cone,Historical,vol-red
Bardarbunga,Iceland,64.63,-17.53,2000,Stratovolcano,Historical,vol-red
Barkhatnaya Sopka,Russia,52.823,158.27,870,Lava dome,Tephrochronology,vol-red
Barren Island,India,12.292,93.875,354,Stratovolcano,Historical,vol-red
"Barrier, The",Kenya,2.32,36.57,1032,Shield volcano,Historical,vol-red
Baru,Panama,8.8,-82.558,3477,Complex volcano,Historical,vol-red
Barva,Costa Rica,10.135,-84.1,2906,Complex volcano,Tephrochronology,vol-red
Bas Dong Nai,Vietnam,10.8,107.2,392,Volcanic field,Holocene,vol-red
Batur,Indonesia,-8.242,115.375,1717,Caldera,Historical,vol-red
"Bayo, Cerro",Argentina,-25.42,-68.58,5401,Complex volcano,Holocene,vol-red
Bayonnaise Rocks,Japan,31.92,139.92,10,Submarine volcano,Historical,vol-red
Bayuda Volc Field,Sudan,18.33,32.75,0,Cinder cone,Radiocarbon,vol-red
Bazman,Iran,28.07,60,3490,Stratovolcano,Fumarolic,vol-red
Behm Canal-Rudyerd Bay,United States,55.32,-131.05,500,Cinder cone,Holocene,vol-red
Belenkaya,Russia,51.75,157.27,892,Stratovolcano,Holocene,vol-red
Belirang-Beriti,Indonesia,-2.82,102.18,1958,Compound volcano,Fumarolic,vol-red
Belknap,United States,44.285,-121.841,2095,Shield volcano,Radiocarbon,vol-red
Bely,Russia,57.88,160.53,2080,Shield volcano,Holocene,vol-red
Berlin,Antarctica,-76.05,-136,3478,Shield volcano,Fumarolic,vol-red
Beru,Ethiopia,8.95,39.75,1100,Volcanic field,Holocene,vol-red
Berutarube,Russia,44.47,146.93,1220,Stratovolcano,Holocene,vol-red
Besar,Indonesia,-4.43,103.67,1899,Stratovolcano,Historical,vol-red
Bezymianny,Russia,55.978,160.587,2882,Stratovolcano,Historical,vol-red
Bibinoi,Indonesia,-0.78,127.72,900,Stratovolcano,Holocene,vol-red
Big Cave,United States,40.955,-121.365,1259,Shield volcano,Holocene,vol-red
Bilate River Field,Ethiopia,7.07,38.1,1700,Maar,Holocene,vol-red
Biliran,Philippines,11.523,124.534,1187,Compound volcano,Historical,vol-red
Billy Mitchell,Papua New Guinea,-6.092,155.225,1544,Pyroclastic shield,Radiocarbon,vol-red
Bir Borhut,Yemen,15.55,50.63,0,Volcanic field,Holocene,vol-red
"Birk, Harrat al",Saudi Arabia,18.367,41.633,381,Volcanic field,Holocene,vol-red
Bishoftu Volc Field,Ethiopia,8.78,38.98,1850,Fissure vent,Holocene,vol-red
Biu Plateau,Nigeria,10.75,12,0,Volcanic field,Holocene,vol-red
Black Peak,United States,56.53,-158.8,1032,Stratovolcano,Radiocarbon,vol-red
Black Rock Desert,United States,38.97,-112.5,1800,Volcanic field,Radiocarbon,vol-red
"Blanca, Loma",Chile,-36.286,-71.009,2268,Stratovolcano,Holocene,vol-red
Bliznets,Russia,56.97,159.78,1244,Stratovolcano,Holocene,vol-red
Bliznetsy,Russia,57.35,161.367,265,Lava cone,Radiocarbon,vol-red
Blue Lake Crater,United States,44.42,-121.77,1230,Maar,Radiocarbon,vol-red
Blup Blup,Papua New Guinea,-3.508,144.62,402,Stratovolcano,Holocene,vol-red
Bobrof,United States,51.9,-177.43,738,Stratovolcano,Holocene,vol-red
Bogatyr Ridge,Russia,44.83,147.37,1634,Stratovolcano,Holocene,vol-red
Bogoslof,United States,53.93,-168.03,101,Submarine volcano,Historical,vol-red
Boisa,Papua New Guinea,-3.994,144.963,240,Stratovolcano,Holocene,vol-red
Bola,Papua New Guinea,-5.15,150.03,1155,Stratovolcano,Holocene,vol-red
Bolshe-Bannaya,Russia,52.9,157.78,1200,Lava dome,Holocene,vol-red
Bolshoi Payalpan,Russia,55.88,157.78,1906,Shield volcano,Holocene,vol-red
Bolshoi Semiachik,Russia,54.32,160.02,1720,Stratovolcano,Radiocarbon,vol-red
Bolshoi-Kekuknaysky,Russia,56.47,157.8,1401,Shield volcano,Holocene,vol-red
Bombalai,Malaysia,4.4,117.88,531,Pyroclastic cone,Holocene,vol-red
Bona-Churchill,United States,61.38,-141.75,5005,Stratovolcano,Radiocarbon,vol-red
Boomerang Seamount,Antarctica,-37.721,77.825,-650,Submarine volcano,Historical,vol-red
Bora-Bericcio Complex,Ethiopia,8.27,39.03,2285,Pumice cone,Holocene,vol-red
Borale Ale,Ethiopia,13.725,40.6,668,Stratovolcano,Holocene,vol-red
Borawli,Ethiopia,13.3,40.98,812,Stratovolcano,Holocene,vol-red
Borawli Complex,Ethiopia,11.63,41.45,875,Lava dome,Holocene,vol-red
Boset-Bericha,Ethiopia,8.558,39.475,2447,Stratovolcano,Holocene,vol-red
Bouvet,Bouvet I.,-54.42,3.35,780,Shield volcano,Magnetism,vol-red
Bratan,Indonesia,-8.28,115.13,2276,Caldera,Holocene,vol-red
Brava,Cape Verde,14.85,-24.72,900,Stratovolcano,Holocene,vol-red
"Bravo, Cerro",Colombia,5.092,-75.3,4000,Stratovolcano,Radiocarbon,vol-red
"Bravo, Cerro",Colombia,5.092,-75.3,4000,Stratovolcano,Radiocarbon,vol-red
Brennisteinsfjoll,Iceland,63.92,-21.83,626,Crater rows,Historical,vol-red
Bridge River Cones,Canada,50.8,-123.4,2500,Volcanic field,Holocene,vol-red
Bridgeman Island,Antarctica,-62.05,-56.75,240,Stratovolcano,Uncertain,vol-red
Brimstone Island,New Zealand,-30.23,-178.92,-2000,Submarine volcano,Uncertain,vol-red
Bristol Island,Antarctica,-59.03,-26.58,1100,Stratovolcano,Historical,vol-red
Brothers,New Zealand,-34.875,179.075,-1350,Submarine volcano,Fumarolic,vol-red
Brushy Butte,United States,41.178,-121.443,1174,Shield volcano,Holocene,vol-red
Buckle Island,Antarctica,-66.8,163.25,1239,Stratovolcano,Historical,vol-red
Bud Dajo,Philippines,5.95,121.07,440,Pyroclastic cone,Historical,vol-red
Bufumbira,Uganda,-1.23,29.72,2440,Cinder cone,Holocene,vol-red
Buldir,United States,52.37,175.98,656,Stratovolcano,Holocene,vol-red
Bulusan,Philippines,12.77,124.05,1565,Stratovolcano,Historical,vol-red
Bunyaruguru Field,Uganda,-0.2,30.08,1554,Explosion crater,Holocene,vol-red
"Burney, Monte",Chile,-52.33,-73.4,1758,Stratovolcano,Historical,vol-red
Bus-Obo,Mongolia,47.12,109.08,1162,Cinder cone,Holocene,vol-red
Butajiri-Silti Field,Ethiopia,8.05,38.35,2281,Fissure vent,Holocene,vol-red
Buzzard Creek,United States,64.07,-148.42,830,Tuff rings,Radiocarbon,vol-red
Cabalian,Philippines,10.287,125.22,945,Stratovolcano,Holocene,vol-red
Caburga,Chile,-39.2,-71.83,995,Cinder cone,Tephrochronology,vol-red
Cagua,Philippines,18.222,122.123,1133,Stratovolcano,Holocene,vol-red
Calabozos,Chile,-35.558,-70.496,3508,Caldera,Holocene,vol-red
Calatrava Volc Field,Spain,38.867,-4.017,1117,Pyroclastic cones,Radiocarbon,vol-red
Calayo,Philippines,7.877,125.068,646,Tuff cone,Historical,vol-red
Calbuco,Chile,-41.326,-72.614,2003,Stratovolcano,Historical,vol-red
Callaqui,Chile,-37.92,-71.45,3164,Stratovolcano,Historical,vol-red
"Cameroon, Mt.",Cameroon,4.203,9.17,4095,Stratovolcano,Historical,vol-red
Camiguin de Babuyanes,Philippines,18.83,121.86,712,Stratovolcano,Historical,vol-red
Campi Flegrei,Italy,40.827,14.139,458,Caldera,Historical,vol-red
Campi Flegrei Mar Sicilia,Italy,37.1,12.7,-8,Submarine volcanoes,Historical,vol-red
Candlemas Island,Antarctica,-57.08,-26.67,550,Stratovolcano,Historical,vol-red
Canlaon,Philippines,10.412,123.132,2435,Stratovolcano,Historical,vol-red
Carlisle,United States,52.9,-170.05,1620,Stratovolcano,Historical,vol-red
Carran-Los Venados,Chile,-40.35,-72.07,1114,Pyroclastic cone,Historical,vol-red
Carrizozo,United States,33.78,-105.93,1731,Cinder cone,Holocene,vol-red
"Casiri, Nevados",Peru,-17.47,-69.82,5650,Stratovolcano,Holocene,vol-red
Cayambe,Ecuador,0.029,-77.986,5790,Compound volcano,Historical,vol-red
